,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,0.8333333333333334,5.0,0.035471439361572266,42.709578406835114,299.8525851543159
1,0,100,0.8722222222222222,7.0,0.06043744087219238,58.123407301632646,293.2300633133045
2,0,1000,0.8722222222222222,7.0,0.11542582511901855,73.46613176135376,293.2300633133045
3,0,10000,0.8722222222222222,7.0,0.41304731369018555,95.47880939158655,293.2300633133045
4,1,10,0.8111111111111111,5.0,0.03207516670227051,42.58653608008263,289.4564977234047
5,1,100,0.8611111111111112,7.0,0.05550098419189453,57.88046863641103,287.6575988755091
6,1,1000,0.8611111111111112,9.0,0.11092591285705566,73.21398849048285,287.41639149666213
7,1,10000,0.8611111111111112,9.0,0.4141073226928711,97.04092743984161,287.3042208517291
8,2,10,0.8222222222222222,5.0,0.03600358963012695,42.58653608008263,294.9262500357361
9,2,100,0.8555555555555555,7.0,0.059232473373413086,57.77928927279171,287.05424656172477
10,2,1000,0.8555555555555555,7.0,0.11652064323425293,73.55600210229328,287.05424656172477
11,2,10000,0.8555555555555555,7.0,0.3995373249053955,98.90371539826201,287.05424656172477
12,3,10,0.8,5.0,0.037659406661987305,42.40647489816772,281.84603552002477
13,3,100,0.7833333333333333,7.0,0.06420612335205078,57.48349424912731,268.3518896917889
14,3,1000,0.7833333333333333,7.0,0.12251949310302734,72.93115265657921,268.3518896917889
15,3,10000,0.7833333333333333,7.0,0.42741870880126953,96.90777188518857,268.3518896917889
16,4,10,0.8222222222222222,5.0,0.030638694763183594,42.748497555814545,296.742426623416
17,4,100,0.8611111111111112,7.0,0.05600380897521973,57.83670421470895,290.12003264143664
18,4,1000,0.8611111111111112,9.0,0.11361813545227051,73.22028484285055,289.6893770191139
19,4,10000,0.8611111111111112,9.0,0.4390895366668701,96.54997990570604,289.5772063741809
