,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,0.8333333333333334,5.0,0.03510451316833496,42.709578406835114,299.8525851543159
1,0,100,0.8722222222222222,7.0,0.059891700744628906,58.123407301632646,293.2300633133045
2,0,1000,0.8722222222222222,7.0,0.11510920524597168,73.46613176135376,293.2300633133045
3,0,10000,0.8722222222222222,7.0,0.4144442081451416,95.47880939158655,293.2300633133045
4,1,10,0.8111111111111111,5.0,0.03243207931518555,42.58653608008263,289.4564977234047
5,1,100,0.8611111111111112,7.0,0.0527501106262207,57.88046863641103,287.6575988755091
6,1,1000,0.8611111111111112,9.0,0.11167001724243164,73.21398849048285,287.41639149666213
7,1,10000,0.8611111111111112,9.0,0.3936960697174072,97.04092743984161,287.3042208517291
8,2,10,0.8222222222222222,5.0,0.03517293930053711,42.58653608008263,294.9262500357361
9,2,100,0.8555555555555555,7.0,0.0610814094543457,57.77928927279171,287.05424656172477
10,2,1000,0.8555555555555555,7.0,0.11462545394897461,73.55600210229328,287.05424656172477
11,2,10000,0.8555555555555555,7.0,0.39879918098449707,98.90371539826201,287.05424656172477
12,3,10,0.8,5.0,0.035962581634521484,42.40647489816772,281.84603552002477
13,3,100,0.7833333333333333,7.0,0.0604701042175293,57.48349424912731,268.3518896917889
14,3,1000,0.7833333333333333,7.0,0.11442732810974121,72.93115265657921,268.3518896917889
15,3,10000,0.7833333333333333,7.0,0.42270755767822266,96.90777188518857,268.3518896917889
16,4,10,0.8222222222222222,5.0,0.03503704071044922,42.748497555814545,296.742426623416
17,4,100,0.8611111111111112,7.0,0.05530834197998047,57.83670421470895,290.12003264143664
18,4,1000,0.8611111111111112,9.0,0.09961962699890137,73.22028484285055,289.6893770191139
19,4,10000,0.8611111111111112,9.0,0.3912491798400879,96.54997990570604,289.5772063741809
