,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,0.9736842105263158,5.0,0.06744551658630371,36.08828645004645,115.04192270355212
1,0,100,0.9736842105263158,5.0,0.11288976669311523,45.322831681568246,115.04192270355212
2,0,1000,0.9736842105263158,9.0,0.3625302314758301,53.11813755357641,112.34465071591245
3,0,10000,0.9736842105263158,7.0,3.014751434326172,65.16550684387114,107.0277890398373
4,1,10,0.9473684210526315,5.0,0.06606101989746094,36.01339233103036,114.17930536217922
5,1,100,0.9473684210526315,5.0,0.11263418197631836,44.43739820415136,114.17930536217922
6,1,1000,0.9122807017543859,9.0,0.38797664642333984,52.5801806174148,112.77926187218767
7,1,10000,0.9473684210526315,7.0,3.0335443019866943,64.46193345999663,107.57641337797469
8,2,10,0.9385964912280702,5.0,0.06917262077331543,35.806799491977245,121.61815498361895
9,2,100,0.9385964912280702,5.0,0.1145484447479248,44.933911837801006,121.61815498361895
10,2,1000,0.9385964912280702,7.0,0.37552571296691895,52.83532643751038,117.91191511584589
11,2,10000,0.9298245614035088,11.0,3.1170830726623535,64.35832743803839,109.38457035251172
12,3,10,0.9473684210526315,5.0,0.06931138038635254,36.08828645004645,110.21867440553173
13,3,100,0.9473684210526315,5.0,0.12006068229675293,44.554714522782696,110.21867440553173
14,3,1000,0.9473684210526315,7.0,0.37134337425231934,53.28145955991487,106.2302247209717
15,3,10000,0.9473684210526315,7.0,3.00887393951416,65.44998011970547,104.48415878571916
16,4,10,0.9122807017543859,5.0,0.06784272193908691,36.08828645004645,100.9741003296391
17,4,100,0.9122807017543859,5.0,0.11459755897521973,44.47963950683592,100.9741003296391
18,4,1000,0.9122807017543859,7.0,0.36281299591064453,53.20091433388871,99.17925999072169
19,4,10000,0.9122807017543859,7.0,3.0429890155792236,65.10204957772432,99.17925999072169
